0x8C0 ui_spell_1_Clumsy_0x8C0.bmp
0x1B8C SpellEffects_Color\ui_spell_7_ManaVampire_0x1B8C.bmp
0x1B8D SpellEffects_Color\ui_spell_7_MassDispel_0x1B8D.bmp
0x1B8E SpellEffects_Color\ui_spell_7_MeteorSwarm_0x1B8E.bmp
0x1B8F SpellEffects_Color\ui_spell_7_Polymorph_0x1B8F.bmp
0x1B90 SpellEffects_Color\ui_spell_8_Earthquake_0x1B90.bmp
0x1B91 SpellEffects_Color\ui_spell_8_EnergyVortex_0x1B91.bmp
0x1B92 SpellEffects_Color\ui_spell_8_Resurrection_0x1B92.bmp
0x1B93 SpellEffects_Color\ui_spell_8_SummonAirElemental_0x1B93.bmp
0x1B94 SpellEffects_Color\ui_spell_8_SummonDaemon_0x1B94.bmp
0x1B95 SpellEffects_Color\ui_spell_8_SummonEarthElemental_0x1B95.bmp
0x1B96 SpellEffects_Color\ui_spell_8_SummonFireElemental_0x1B96.bmp
0x1B97 SpellEffects_Color\ui_spell_8_SummonWaterElemental_0x1B97.bmp
