0x0F25 ART\ART_Gems\item_gem_Amber_0x0F25.bmp
0x3BB5 ART\ART_Jewelry\item_jewelry_AnkhPendant_0x3BB5.bmp
0x1F06 ART\ART_Jewelry\item_jewelry_bracelet_0x1F06.bmp
0x1086 ART\ART_Jewelry\item_jewelry_braclet_0x1086.bmp
0x1087 ART\ART_Jewelry\item_jewelry_earring_0x1087.bmp
0x1085 ART\ART_Jewelry\item_jewelry_necklace_0x1085.bmp
0x1088 ART\ART_Jewelry\item_jewelry_necklace_0x1088.bmp
0x1089 ART\ART_Jewelry\item_jewelry_necklace_0x1089.bmp
0x108A ART\ART_Jewelry\item_jewelry_ring_0x108A.bmp
0x1F09 ART\ART_Jewelry\item_jewelry_ring_0x1F09.bmp
0x1013 ART\ART_Key\item_key_bronze_0x1013.bmp
0x100E ART\ART_Key\item_key_copper_0x100E.bmp
0xBF71 ART\ART_Key\item_key_doom_0xBF71.bmp
0x100F ART\ART_Key\item_key_gold_0x100F.bmp
0x1010 ART\ART_Key\item_key_iron_0x1010.bmp
0x1011 ART\ART_Key\item_key_ring_0x1011.bmp
0x1012 ART\ART_Key\item_key_silver_0x1012.bmp
0x2002 ART\ART_Key\item_key_TigerClaw_0x2002.bmp
0x1F2E ART\ART_MagicScrolls\item_scroll_1_Clumsy_0x1F2E.bmp
0x1F2F ART\ART_MagicScrolls\item_scroll_1_CreateFood_0x1F2F.bmp
0x1F30 ART\ART_MagicScrolls\item_scroll_1_Feeblemind_0x1F30.bmp
0x1F31 ART\ART_MagicScrolls\item_scroll_1_Heal_0x1F31.bmp
0x1F32 ART\ART_MagicScrolls\item_scroll_1_MagicArrow_0x1F32.bmp
0x1F33 ART\ART_MagicScrolls\item_scroll_1_NightSight_0x1F33.bmp
0x1F2D ART\ART_MagicScrolls\item_scroll_1_ReactiveArmor_0x1F2D.bmp
0x1F34 ART\ART_MagicScrolls\item_scroll_1_Weaken_0x1F34.bmp
0x1F35 ART\ART_MagicScrolls\item_scroll_2_Agility_0x1F35.bmp
0x1F36 ART\ART_MagicScrolls\item_scroll_2_Cunning_0x1F36.bmp
0x1F37 ART\ART_MagicScrolls\item_scroll_2_Cure_0x1F37.bmp
0x1F38 ART\ART_MagicScrolls\item_scroll_2_Harm_0x1F38.bmp
0x1F39 ART\ART_MagicScrolls\item_scroll_2_MagicTrap_0x1F39.bmp
0x1F3A ART\ART_MagicScrolls\item_scroll_2_MagicUnTrap_0x1F3A.bmp
0x1F3B ART\ART_MagicScrolls\item_scroll_2_Protection_0x1F3B.bmp
0x1F3C ART\ART_MagicScrolls\item_scroll_2_Strength_0x1F3C.bmp
0x1F3D ART\ART_MagicScrolls\item_scroll_3_Bless_0x1F3D.bmp
0x1F3E ART\ART_MagicScrolls\item_scroll_3_Fireball_0x1F3E.bmp
0x1F3F ART\ART_MagicScrolls\item_scroll_3_MagicLock_0x1F3F.bmp
0x1F40 ART\ART_MagicScrolls\item_scroll_3_Poison_0x1F40.bmp
0x1F41 ART\ART_MagicScrolls\item_scroll_3_Telekinisis_0x1F41.bmp
0x1F42 ART\ART_MagicScrolls\item_scroll_3_Teleport_0x1F42.bmp
0x1F43 ART\ART_MagicScrolls\item_scroll_3_Unlock_0x1F43.bmp
0x1F44 ART\ART_MagicScrolls\item_scroll_3_WallOfStone_0x1F44.bmp
0x1F45 ART\ART_MagicScrolls\item_scroll_4_ArchCure_0x1F45.bmp
0x1F46 ART\ART_MagicScrolls\item_scroll_4_ArchProtection_0x1F46.bmp
0x1F47 ART\ART_MagicScrolls\item_scroll_4_Curse_0x1F47.bmp
0x1F48 ART\ART_MagicScrolls\item_scroll_4_FireField_0x1F48.bmp
0x1F49 ART\ART_MagicScrolls\item_scroll_4_GreaterHeal_0x1F49.bmp
0x1F4A ART\ART_MagicScrolls\item_scroll_4_Lightning_0x1F4A.bmp
0x1F4B ART\ART_MagicScrolls\item_scroll_4_ManaDrain_0x1F4B.bmp
0x1F4C ART\ART_MagicScrolls\item_scroll_4_Recall_0x1F4C.bmp
0x1F4D ART\ART_MagicScrolls\item_scroll_5_BladeSpirits_0x1F4D.bmp
0x1F4E ART\ART_MagicScrolls\item_scroll_5_DispelField_0x1F4E.bmp
0x1F4F ART\ART_MagicScrolls\item_scroll_5_Incognito_0x1F4F.bmp
0x1F50 ART\ART_MagicScrolls\item_scroll_5_MagicReflect_0x1F50.bmp
0x1F51 ART\ART_MagicScrolls\item_scroll_5_MindBlast_0x1F51.bmp
0x1F52 ART\ART_MagicScrolls\item_scroll_5_Paralyze_0x1F52.bmp
0x1F53 ART\ART_MagicScrolls\item_scroll_5_PoisonField_0x1F53.bmp
0x1F54 ART\ART_MagicScrolls\item_scroll_5_SummonCreature_0x1F54.bmp
0x1F55 ART\ART_MagicScrolls\item_scroll_6_Dispel_0x1F55.bmp
0x1F56 ART\ART_MagicScrolls\item_scroll_6_EnergyBolt_0x1F56.bmp
0x1F57 ART\ART_MagicScrolls\item_scroll_6_Explosion_0x1F57.bmp
0x1F58 ART\ART_MagicScrolls\item_scroll_6_Invisibility_0x1F58.bmp
0x1F59 ART\ART_MagicScrolls\item_scroll_6_Mark_0x1F59.bmp
0x1F5A ART\ART_MagicScrolls\item_scroll_6_MassCurse_0x1F5A.bmp
0x1F5B ART\ART_MagicScrolls\item_scroll_6_ParalyzeField_0x1F5B.bmp
0x1F5C ART\ART_MagicScrolls\item_scroll_6_Reveal_0x1F5C.bmp
0x1F5D ART\ART_MagicScrolls\item_scroll_7_ChainLightning_0x1F5D.bmp
0x1F5E ART\ART_MagicScrolls\item_scroll_7_EnergyField_0x1F5E.bmp
0x1F5F ART\ART_MagicScrolls\item_scroll_7_Flamestrike_0x1F5F.bmp
0x1F60 ART\ART_MagicScrolls\item_scroll_7_GateTravel_0x1F60.bmp
0x1F61 ART\ART_MagicScrolls\item_scroll_7_ManaVampire_0x1F61.bmp
0x1F62 ART\ART_MagicScrolls\item_scroll_7_MassDispel_0x1F62.bmp
0x1F63 ART\ART_MagicScrolls\item_scroll_7_MeteorSwarm_0x1F63.bmp
0x1F64 ART\ART_MagicScrolls\item_scroll_7_Polymorph_0x1F64.bmp
0x1F65 ART\ART_MagicScrolls\item_scroll_8_Earthquake_0x1F65.bmp
0x1F66 ART\ART_MagicScrolls\item_scroll_8_EnergyVortex_0x1F66.bmp
0x1F67 ART\ART_MagicScrolls\item_scroll_8_Resurrection_0x1F67.bmp
0x1F68 ART\ART_MagicScrolls\item_scroll_8_SummonAirElemental_0x1F68.bmp
0x1F69 ART\ART_MagicScrolls\item_scroll_8_SummonDaemon_0x1F69.bmp
0x1F6A ART\ART_MagicScrolls\item_scroll_8_SummonEarthElemental_0x1F6A.bmp
0x1F6B ART\ART_MagicScrolls\item_scroll_8_SummonFireElemental_0x1F6B.bmp
0x1F6C ART\ART_MagicScrolls\item_scroll_8_SummonWaterElemental_0x1F6C.bmp
0x14F0 ART\ART_PowerRare\item_rare_PowerScroll_0x14F0.bmp
0x14EF ART\ART_PowerRare\item_rare_ScrollDeed_0x14EF.bmp
0xA9B5 ART\ART_PowerRare\item_rare_SkullBig_0xA9B5.bmp
0x1AE1 ART\ART_PowerRare\item_rare_skull_0x1AE1.bmp
0x0F7A ART\ART_Reagents\item_reagent_BlackPearl_0x0F7A.bmp
0x0F7B ART\ART_Reagents\item_reagent_BloodMoss_0x0F7B.bmp
0x0F84 ART\ART_Reagents\item_reagent_Garlic_0x0F84.bmp
0x0F85 ART\ART_Reagents\item_reagent_Gensing_0x0F85.bmp
0x0F86 ART\ART_Reagents\item_reagent_MandrakeRoot_0x0F86.bmp
0x0F88 ART\ART_Reagents\item_reagent_NightShade_0x0F88.bmp
0x0F8D ART\ART_Reagents\item_reagent_SpiderSilk_0x0F8D.bmp
0x0F8C ART\ART_Reagents\item_reagent_SulphurousAsh_0x0F8C.bmp
0x0F78 ART\ART_ReagentPagan\item_reagentPagan_BatWing_0x0F78.bmp
0x0F7E ART\ART_ReagentPagan\item_reagentPagan_Bone_0x0F7E.bmp
0x0F7D ART\ART_ReagentPagan\item_reagentPagan_DaemonBlood_0x0F7D.bmp
0x0F80 ART\ART_ReagentPagan\item_reagentPagan_DaemonBone_0x0F80.bmp
0x0F90 ART\ART_ReagentPagan\item_reagentPagan_DeadWood_0x0F90.bmp
0x0F82 ART\ART_ReagentPagan\item_reagentPagan_DragonsBlood_0x0F82.bmp
0x0F83 ART\ART_ReagentPagan\item_reagentPagan_ExecutionersCap_0x0F83.bmp
0x0F87 ART\ART_ReagentPagan\item_reagentPagan_EyeOfNewt_0x0F87.bmp
0x0F81 ART\ART_ReagentPagan\item_reagentPagan_FertileDirt_0x0F81.bmp
0x0F8F ART\ART_ReagentPagan\item_reagentPagan_GraveDust_0x0F8F.bmp
0x0F8E ART\ART_ReagentPagan\item_reagentPagan_NoxCrystal_0x0F8E.bmp
0x0F89 ART\ART_ReagentPagan\item_reagentPagan_Obsidian_0x0F89.bmp
0x0F8A ART\ART_ReagentPagan\item_reagentPagan_PigIron_0x0F8A.bmp
0x0F91 ART\ART_ReagentPagan\item_reagentPagan_WyrmsHeart_0x0F91.bmp
0x0C67 ART\ART_Resource\item_resource_AcidSac_0x0C67.bmp
0x2243 ART\ART_Resource\item_resource_AncientPottery_0x2243.bmp
0x023B ART\ART_Resource\item_resource_Bauble_0x023B.bmp
0x5732 ART\ART_Resource\item_resource_BlackrockCrystaline_0x5732.bmp
0x5733 ART\ART_Resource\item_resource_BlackrockCrystaline_0x5733.bmp
0x5734 ART\ART_Resource\item_resource_BlackrockCrystaline_0x5734.bmp
0x5735 ART\ART_Resource\item_resource_BlackrockCrystaline_0x5735.bmp
0x5748 ART\ART_Resource\item_resource_BottleOfIchor_0x5748.bmp
0x5742 ART\ART_Resource\item_resource_CongealedSlugAcid_0x5742.bmp
0x573B ART\ART_Resource\item_resource_CrushedGlass_0x573B.bmp
0x400B ART\ART_Resource\item_resource_CrystalOfShame_0x400B.bmp
0x5738 ART\ART_Resource\item_resource_CrystalShards_0x5738.bmp
0x2248 ART\ART_Resource\item_resource_CrystalShattered_0x2248.bmp
0x5721 ART\ART_Resource\item_resource_DaemonClaw_0x5721.bmp
0x4077 ART\ART_Resource\item_resource_DragonBlood_0x4077.bmp
0x26B4 ART\ART_Resource\item_resource_DragonScale_0x26B4.bmp
0x312F ART\ART_Resource\item_resource_EarHuman_0x312F.bmp
0x3130 ART\ART_Resource\item_resource_EarHuman_0x3130.bmp
0x5737 ART\ART_Resource\item_resource_ElvenFletching_0x5737.bmp
0x5745 ART\ART_Resource\item_resource_FaeryDust_0x5745.bmp
0x1BD1 ART\ART_Resource\item_resource_Feather_0x1BD1.bmp
0x2F60 ART\ART_Resource\item_resource_FellowshipCoin_0x2F60.bmp
0x122E ART\ART_Resource\item_resource_FireAntGoo_0x122E.bmp
0x5743 ART\ART_Resource\item_resource_FungusChaga_0x5743.bmp
0x0D16 ART\ART_Resource\item_resource_FungusHeartwood_0x0D16.bmp
0x3191 ART\ART_Resource\item_resource_FungusLuminescent_0x3191.bmp
0x7154 ART\ART_Resource\item_resource_FungusMana_0x7154.bmp
0x26B7 ART\ART_Resource\item_resource_FungusZoogi_0x26B7.bmp
0x1053 ART\ART_Resource\item_resource_Gears_0x1053.bmp
0x1AE0 ART\ART_Resource\item_resource_GelatinousSkull_0x1AE0.bmp
0x572C ART\ART_Resource\item_resource_GoblinBlood_0x572C.bmp
0x1779 ART\ART_Resource\item_resource_Granite_0x1779.bmp
0x1CEF ART\ART_Resource\item_resource_HealthyGland_0x1CEF.bmp
0x1079 ART\ART_Resource\item_resource_hide_0x1079.bmp
0x2DB7 ART\ART_Resource\item_resource_HornOfAbyssalInfernal_0x2DB7.bmp
0x572D ART\ART_Resource\item_resource_LavaSerpentCrust_0x572D.bmp
0x26B2 ART\ART_Resource\item_resource_LizardScales_0x26B2.bmp
0x5739 ART\ART_Resource\item_resource_Lodestone_0x5739.bmp
0x0F87 ART\ART_Resource\item_resource_LuckyCoin_0x0F87.bmp
0x1021 ART\ART_Resource\item_resource_Petals_0x1021.bmp
0x3190 ART\ART_Resource\item_resource_PlantParasitic_0x3190.bmp
0x0DCF ART\ART_Resource\item_resource_PlantSeed_0x0DCF.bmp
0x5736 ART\ART_Resource\item_resource_PlantSeed_0x5736.bmp
0x26B8 ART\ART_Resource\item_resource_PowderTranslocation_0x26B8.bmp
0x5747 ART\ART_Resource\item_resource_RaptorTeeth_0x5747.bmp
0x0E24 ART\ART_Resource\item_resource_SilverSerpentVenom_0x0E24.bmp
0x5749 ART\ART_Resource\item_resource_SlithEye_0x5749.bmp
0x5746 ART\ART_Resource\item_resource_SlithTongue_0x5746.bmp
0x2808 ART\ART_Resource\item_resource_SmokeBomb_0x2808.bmp
0x5731 ART\ART_Resource\item_resource_UndyingFlesh_0x5731.bmp
0x5722 ART\ART_Resource\item_resource_VialOfVitriol_0x5722.bmp
0x5723 ART\ART_Resource\item_resource_VialOfVitriol_0x5723.bmp
0x5724 ART\ART_Resource\item_resource_VialOfVitriol_0x5724.bmp
0x5725 ART\ART_Resource\item_resource_VialOfVitriol_0x5725.bmp
0x5728 ART\ART_Resource\item_resource_VoidCore_0x5728.bmp
0x1F19 ART\ART_Resource\item_resource_VoidCrystal_0x1F19.bmp
0x1F1A ART\ART_Resource\item_resource_VoidCrystal_0x1F1A.bmp
0x1F1B ART\ART_Resource\item_resource_VoidCrystal_0x1F1B.bmp
0x4007 ART\ART_Resource\item_resource_VoidEssence_0x4007.bmp
0x573E ART\ART_Resource\item_resource_VoidOrb_0x573E.bmp
0x573F ART\ART_Resource\item_resource_VoidOrb_0x573F.bmp
0x5740 ART\ART_Resource\item_resource_VoidOrb_0x5740.bmp
0x5741 ART\ART_Resource\item_resource_VoidOrb_0x5741.bmp
0x318F ART\ART_Resource\item_resource_WoodBarkFragment_0x318F.bmp
0x1BDD ART\ART_Resource\item_resource_WoodLogs_0x1BDD.bmp
0x1BD4 ART\ART_Resource\item_resource_WoodShaft_0x1BD4.bmp
0x2F5F ART\ART_Resource\item_resource_WoodSwitch_0x2F5F.bmp
0x2F59 ART\ART_Talisman\item_talisman_dragon_0x2F59.bmp
0x1096 ART\ART_Talisman\item_talisman_ManaPhasingOrb_0x1096.bmp
0x2F58 ART\ART_Talisman\item_talisman_shield_0x2F58.bmp
0x2F5B ART\ART_Talisman\item_talisman_trophy_0x2F5B.bmp
0x2F5A ART\ART_Talisman\item_talisman_winged_0x2F5A.bmp
0x0E75 ART\ART_Tools\item_container_Backpack_0x0E75.bmp
0x2257 ART\ART_Tools\item_container_Bag_0x2257.bmp
0x0E79 ART\ART_Tools\item_container_Pouch_0x0E79.bmp
0x0E21 ART\ART_Tools\item_resource_Bandages_0x0E21.bmp
0x0E8A ART\ART_Tools\item_tool_BlowPipe_0x0E8A.bmp
0x0F51 ART\ART_Tools\item_tool_DaggerL_0x0F51.bmp
0x0F52 ART\ART_Tools\item_tool_DaggerR_0x0F52.bmp
0x0E9C ART\ART_Tools\item_tool_Drum_0x0E9C.bmp
0x0FA9 ART\ART_Tools\item_tool_Dyes_0x0FA9.bmp
0x0FAB ART\ART_Tools\item_tool_DyeTub_0x0FAB.bmp
0x1022 ART\ART_Tools\item_tool_FletcherTool_0x1022.bmp
0x2805 ART\ART_Tools\item_tool_Flute_0x2805.bmp
0x0EB1 ART\ART_Tools\item_tool_HarpLarge_0x0EB1.bmp
0x0EB2 ART\ART_Tools\item_tool_Harp_0x0EB2.bmp
0x14FC ART\ART_Tools\item_tool_LockPick_0x14FC.bmp
0x0EB3 ART\ART_Tools\item_tool_Lute_0x0EB3.bmp
0x1421 ART\ART_Tools\item_tool_MagicFlute_0x1421.bmp
0x0E9B ART\ART_Tools\item_tool_MortarPestle_0x0E9B.bmp
0x1374 ART\ART_Tools\item_tool_PetLeash_0x1374.bmp
0x0E86 ART\ART_Tools\item_tool_Pickaxe_0x0E86.bmp
0x1F14 ART\ART_Tools\item_tool_Rune_0x1F14.bmp
0x0F9E ART\ART_Tools\item_tool_ScissorL_0x0F9E.bmp
0x0F9F ART\ART_Tools\item_tool_ScissorR_0x0F9F.bmp
0x4CD9 ART\ART_Tools\item_tool_Scour_0x4CD9.bmp
0x097F ART\ART_Tools\item_tool_Skillet_0x097F.bmp
0x13E3 ART\ART_Tools\item_tool_SmithHammerL_0x13E3.bmp
0x13E4 ART\ART_Tools\item_tool_SmithHammerR_0x13E4.bmp
0x0E9D ART\ART_Tools\item_tool_TambourineA_0x0E9D.bmp
0x0E9E ART\ART_Tools\item_tool_TambourineB_0x0E9E.bmp
0x1EBC ART\ART_Tools\item_tool_TinkerTools_0x1EBC.bmp
0x0FBB ART\ART_Tools\item_tool_TongL_0x0FBB.bmp
0x0FBC ART\ART_Tools\item_tool_TongR_0x0FBC.bmp
0x1EB8 ART\ART_Tools\item_tool_ToolKit_0x1EB8.bmp
0x0E82 ART\ART_Weapon\item_tool_CrookL_0x0E82.bmp
0x0E81 ART\ART_Weapon\item_tool_CrookR_0x0E81.bmp
0x0F42 ART\ART_Weapon\item_weapon_ArrowProjectile_0x0F42.bmp
0x0F3F ART\ART_Weapon\item_weapon_ArrowSingle_0x0F3F.bmp
0x0F49 ART\ART_Weapon\item_weapon_Axe_0x0F49.bmp
0x0F47 ART\ART_Weapon\item_weapon_BattleAxe_0x0F47.bmp
0x0DF0 ART\ART_Weapon\item_weapon_BlackStaffL_0x0DF0.bmp
0x0DF1 ART\ART_Weapon\item_weapon_BlackStaffR_0x0DF1.bmp
0x1BFE ART\ART_Weapon\item_weapon_BoltProjectile_0x1BFE.bmp
0x1BFB ART\ART_Weapon\item_weapon_BoltSingle_0x1BFB.bmp
0x0F5E ART\ART_Weapon\item_weapon_BroadSword_0x0F5E.bmp
0x13F6 ART\ART_Weapon\item_weapon_ButcherKnife_0x13F6.bmp
0x0EC3 ART\ART_Weapon\item_weapon_Cleaver_0x0EC3.bmp
0x13B4 ART\ART_Weapon\item_weapon_Club_0x13B4.bmp
0x1441 ART\ART_Weapon\item_weapon_Cutlass_0x1441.bmp
0x0F4B ART\ART_Weapon\item_weapon_DoubleAxe_0x0F4B.bmp
0x0F45 ART\ART_Weapon\item_weapon_ExecutionerAxe_0x0F45.bmp
0x13F8 ART\ART_Weapon\item_weapon_GnarledStaff_0x13F8.bmp
0x143D ART\ART_Weapon\item_weapon_HammerPick_0x143D.bmp
0x0F43 ART\ART_Weapon\item_weapon_Hatchet_0x0F43.bmp
0x13FF ART\ART_Weapon\item_weapon_Katana_0x13FF.bmp
0x1401 ART\ART_Weapon\item_weapon_Kryss_0x1401.bmp
